"citation_key","inclusion_1","inclusion_2","ec_quality","ec_research_availability","ec_dt_for_non_security_case","ec_dt_missing","ec_not_IOT_CPS_context","ec_dt_for_security","ec_complete_book","comment"
"Youliang","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Youngjin2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Youngtaek2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yousefnezhad2020","yes","no","no","no","no","yes","no","no","no","-"
"Yrjoelae2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yrlmaz2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yu-lun2009","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yu2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yu2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yu2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yuchen2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yuchen2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yue2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yulei2011","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yuming2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yun2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yun2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yunchuan2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yuqian2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yurci2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
