filename,number_records,iteration,date_start,date_completion,source_url,search_parameters,responsible,comment
backward//usr/data/search/backward/Cioroaica2019bw_search.bib,13,2,6/9/2021,6/9/2021,/usr/data/search/backward/Cioroaica2019.tei.xml,,automated_script,
backward//usr/data/search/backward/CristinaFrancodaSilva2021bw_search.bib,6,2,6/9/2021,6/9/2021,/usr/data/search/backward/CristinaFrancodaSilva2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Danilczyk2019bw_search.bib,26,2,6/9/2021,6/9/2021,/usr/data/search/backward/Danilczyk2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Dietz2020bw_search.bib,28,2,6/9/2021,6/9/2021,/usr/data/search/backward/Dietz2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Dietz2020abw_search.bib,15,2,6/9/2021,6/9/2021,/usr/data/search/backward/Dietz2020a.tei.xml,,automated_script,
backward//usr/data/search/backward/Eckhart2018bw_search.bib,37,2,6/9/2021,6/9/2021,/usr/data/search/backward/Eckhart2018.tei.xml,,automated_script,
backward//usr/data/search/backward/Eckhart2018abw_search.bib,32,2,6/9/2021,6/9/2021,/usr/data/search/backward/Eckhart2018a.tei.xml,,automated_script,
backward//usr/data/search/backward/Eckhart2019bw_search.bib,93,2,6/9/2021,6/9/2021,/usr/data/search/backward/Eckhart2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Empl2021bw_search.bib,34,2,6/9/2021,6/9/2021,/usr/data/search/backward/Empl2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Erol2020bw_search.bib,30,2,6/9/2021,6/9/2021,/usr/data/search/backward/Erol2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Fournaris2019bw_search.bib,93,2,6/9/2021,6/9/2021,/usr/data/search/backward/Fournaris2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Furness2019bw_search.bib,29,2,6/9/2021,6/9/2021,/usr/data/search/backward/Furness2019.tei.xml,,automated_script,
backward//usr/data/search/backward/Gajek2020bw_search.bib,23,2,6/9/2021,6/9/2021,/usr/data/search/backward/Gajek2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Garcia2020bw_search.bib,69,2,6/9/2021,6/9/2021,/usr/data/search/backward/Garcia2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Gehrmann2020bw_search.bib,42,2,6/9/2021,6/9/2021,/usr/data/search/backward/Gehrmann2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Grabis2021bw_search.bib,29,2,6/9/2021,6/9/2021,/usr/data/search/backward/Grabis2021.tei.xml,,automated_script,
backward//usr/data/search/backward/Hadar2020bw_search.bib,20,2,6/9/2021,6/9/2021,/usr/data/search/backward/Hadar2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Hammoudeh2020bw_search.bib,2,2,6/9/2021,6/9/2021,/usr/data/search/backward/Hammoudeh2020.tei.xml,,automated_script,
backward//usr/data/search/backward/Hau2020bw_search.bib,22,2,6/9/2021,6/9/2021,/usr/data/search/backward/Hau2020.tei.xml,,automated_script,
backward//usr/data/search/backward/He2019bw_search.bib,50,2,6/9/2021,6/9/2021,/usr/data/search/backward/He2019.tei.xml,,automated_script,
